Academic Year,LSS Number,LSS Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Chronic Absentee Cnt,Chronic Absentee Denom,Chronic Absentee Pct,Create Date
2018,30,Baltimore City,4,Steuart Hill Academic Academy,Elementary,92.3,24839,26925,24.6,48,16.4,32,195,84,290,29,20190626
2018,30,Baltimore City,7,Cecil Elementary,Elementary,93.5,33778.5,36114,31.8,87,20.1,55,274,110,353,31.2,20190626
2018,30,Baltimore City,8,City Springs Elementary,Elementary,91.5,52887.5,57784,17.2,73,28,119,425,244,547,44.6,20190626
2018,30,Baltimore City,8,City Springs Elementary,Middle,91.9,25499,27744,28.6,59,21.4,44,206,69,225,30.7,20190626
2018,30,Baltimore City,8,City Springs Elementary,All Students,91.7,78386.5,85528,20.9,132,25.8,163,631,313,772,40.5,20190626
2018,30,Baltimore City,10,James McHenry Elementary,Elementary,88.9,24148.5,27167,14.7,30,39.2,80,204,133,274,48.5,20190626
2018,30,Baltimore City,10,James McHenry Elementary,Middle,91.1,13559,14888,14.7,16,24.8,27,109,46,123,37.4,20190626
2018,30,Baltimore City,10,James McHenry Elementary,All Students,89.7,37707.5,42055,14.7,46,34.2,107,313,179,397,45.1,20190626
2018,30,Baltimore City,11,Eutaw-Marshburn Elementary,Elementary,92.8,25147,27090,24.4,48,15.7,31,197,76,275,27.6,20190626
2018,30,Baltimore City,12,Lakeland Elementary/Middle,Elementary,94.6,54530,57635,30.7,133,11.3,49,433,133,588,22.6,20190626
2018,30,Baltimore City,12,Lakeland Elementary/Middle,Middle,93.6,31067,33208,25,63,14.7,37,252,64,272,23.5,20190626
2018,30,Baltimore City,12,Lakeland Elementary/Middle,All Students,94.2,85597,90843,28.6,196,12.6,86,685,197,860,22.9,20190626
2018,30,Baltimore City,13,Tench Tilghman Elementary,Elementary,>= 95.0,*,*,69.1,134,<= 5.0,*,194,30,287,10.5,20190626
2018,30,Baltimore City,13,Tench Tilghman Elementary,Middle,>= 95.0,*,*,55.6,55,8.1,8,99,15,113,13.3,20190626
2018,30,Baltimore City,13,Tench Tilghman Elementary,All Students,>= 95.0,*,*,64.5,189,5.5,16,293,45,400,11.3,20190626
2018,30,Baltimore City,15,Stadium School,Middle,91.4,31113.5,34039,27.6,70,20.1,51,254,84,278,30.2,20190626
2018,30,Baltimore City,16,Johnston Square Elementary,Elementary,90.5,28263,31239,14,31,28.8,64,222,137,328,41.8,20190626
2018,30,Baltimore City,21,Hilton Elementary,Elementary,90.4,33406,36947,20.7,57,26.2,72,275,151,358,42.2,20190626
2018,30,Baltimore City,22,George Washington Elementary,Elementary,90.8,21476,23640,21.1,37,28.6,50,175,100,242,41.3,20190626
2018,30,Baltimore City,23,Wolfe Street Academy,Elementary,>= 95.0,*,*,45.3,81,7.3,13,179,26,220,11.8,20190626
2018,30,Baltimore City,27,Commodore John Rogers Elementary,Elementary,90,54347,60418,15.9,70,32.2,142,441,234,560,41.8,20190626
2018,30,Baltimore City,27,Commodore John Rogers Elementary,Middle,88.6,34902,39373,15.6,45,33.7,97,288,131,306,42.8,20190626
2018,30,Baltimore City,27,Commodore John Rogers Elementary,All Students,89.4,89249,99791,15.8,115,32.8,239,729,365,866,42.1,20190626
2018,30,Baltimore City,28,William Pinderhughes Elementary,Elementary,90.5,14269,15767,15.9,18,25.7,29,113,65,161,40.4,20190626
2018,30,Baltimore City,28,William Pinderhughes Elementary,Middle,89.3,11935.5,13367,21.6,21,33,32,97,55,124,44.4,20190626
2018,30,Baltimore City,28,William Pinderhughes Elementary,All Students,89.9,26204.5,29134,18.6,39,29,61,210,120,285,42.1,20190626
2018,30,Baltimore City,29,Matthew A. Henson Elementary,Elementary,90.5,32522,35950,17.9,47,30.4,80,263,156,363,43,20190626
2018,30,Baltimore City,31,Coldstream Park Elementary,Elementary,89.2,15212,17050,12.9,16,38.7,48,124,80,168,47.6,20190626
2018,30,Baltimore City,31,Coldstream Park Elementary,Middle,83.7,10397,12423,6.5,6,46.7,43,92,59,103,57.3,20190626
2018,30,Baltimore City,31,Coldstream Park Elementary,All Students,86.9,25609,29473,10.2,22,42.1,91,216,139,271,51.3,20190626
2018,30,Baltimore City,34,Charles Carroll Barrister Elementary,Elementary,94.8,31786,33544,33.5,81,9.1,22,242,61,344,17.7,20190626
