ReferenceID,Block,Lot,BuildingAddress,NoticeDate,Neighborhood,PoliceDistrict,CouncilDistrict,Location
7133 011 010416,7133,011,4100 AUDREY AVE,01/04/2016,BROOKLYN,SOUTHERN,10,"(39.23052147, -76.60348434)"
3335 003 010416,3335,003,3705 PARK HEIGHTS AVE,01/04/2016,PARK CIRCLE,NORTHWESTERN,6,"(39.33106888, -76.65959734)"
0129 021 010416,0129,021,942 W FRANKLIN ST,01/04/2016,HARLEM PARK,WESTERN,9,"(39.2945657, -76.63348665)"
8255 013 010416,8255,013,3614 HOWARD PARK AVE,01/04/2016,HOWARD PARK,NORTHWESTERN,5,"(39.33394568, -76.69803461)"
4010D015 010516,4010D,015,2318 AIKEN ST,01/05/2016,EAST BALTIMORE MIDWAY,EASTERN,12,"(39.31645856, -76.59828208)"
1122 032 010516,1122,032,1535 HOLBROOK ST,01/05/2016,OLIVER,EASTERN,12,"(39.30785897, -76.60294573)"
3196C022 010716,3196C,022,3831 BEEHLER AVE,01/07/2016,LUCILLE PARK,NORTHWESTERN,6,"(39.34046656, -76.67603484)"
2446B028 010716,2446B,028,2916 MOSHER ST,01/07/2016,FRANKLINTOWN ROAD,SOUTHWESTERN,9,"(39.29940745, -76.6661655)"
0078 039 010716,0078,039,926 N CARROLLTON AVE,01/07/2016,SANDTOWN-WINCHESTER,WESTERN,9,"(39.29995127, -76.63760786)"
0055C004 010716,0055C,004,1107 N CAREY ST,01/07/2016,SANDTOWN-WINCHESTER,WESTERN,9,"(39.30141242, -76.63858458)"
4188D003 010816,4188D,003,3003 MAYFIELD AVE,01/08/2016,Belair-Edison,Notheastern,13,"(39.32188261, -76.57246244)"
3942A004 010816,3942A,004,1907 E 30TH ST,01/08/2016,Coldstream Homestead Montebello,Notheastern,14,"(39.32513693, -76.58874377)"
2201 060 010816,2201,060,2319 LAURETTA AVE,01/08/2016,ROSEMONT HOMEOWNERS/TENANTS,WESTERN,9,"(39.29394185, -76.65377479)"
2179 027 010816,2179,027,208 S CATHERINE ST,01/08/2016,SHIPLEY HILL,SOUTHWESTERN,9,"(39.28446482, -76.65624719)"
0703 016 010816,0703,016,2031 WILKENS AVE,01/08/2016,CARROLLTON RIDGE,SOUTHERN,9,"(39.28114568, -76.64846724)"
0243 083 010816,0243,083,1813 LEMMON ST,01/08/2016,CARROLLTON RIDGE,SOUTHERN,9,"(39.28575237, -76.64574773)"
4072 047 011116,4072,047,2900 MATHEWS ST,01/11/2016,BETTER WAVERLY,NORTHERN,14,"(39.3232142, -76.60789984)"
2870 008 011116,2870,008,2403 TALBOT ROAD,01/11/2016,WINDSOR HILLS,NORTHWESTERN,6,"(39.31342001, -76.68574517)"
1468 066 011116,1468,066,1604 N CHAPEL ST,01/11/2016,BROADWAY EAST,EASTERN,12,"(39.30908319, -76.59104322)"
7089 021 011216,7089,021,3720 2ND ST,01/12/2016,BROOKLYN,SOUTHERN,10,"(39.23645967, -76.60976671)"
4178K048 011216,4178K,048,3404 LYNDALE AVE,01/12/2016,Four By Four,Notheastern,13,"(39.31663799, -76.57562178)"
4114B001 011216,4114B,001,2601 ROBB ST,01/12/2016,Coldstream Homestead Montebello,Notheastern,14,"(39.31931397, -76.59697382)"
0037 015 011216,0037,015,1323 N CAREY ST,01/12/2016,SANDTOWN-WINCHESTER,WESTERN,7,"(39.30409274, -76.63871865)"
5853 002 011316,5853,002,4027 RIDGECROFT ROAD,01/13/2016,Waltherson,Notheastern,3,"(39.33535206, -76.55786441)"
4550 019 011316,4550,019,5207 BEAUFORT AVE,01/13/2016,ARLINGTON,NORTHWESTERN,5,"(39.34731965, -76.68023754)"
4137 091 011316,4137,091,1500 E 28TH ST,01/13/2016,Coldstream Homestead Montebello,Notheastern,14,"(39.32410569, -76.59489623)"
4114A059 011316,4114A,059,1723 MONTPELIER ST,01/13/2016,Coldstream Homestead Montebello,Notheastern,14,"(39.31952912, -76.59518288)"
3228A031 011316,3228A,031,2858 WOODBROOK AVE,01/13/2016,PARKVIEW/WOODBROOK,WESTERN,7,"(39.31465431, -76.6467755)"
0174 006 011316,0174,006,2211 W LEXINGTON ST,01/13/2016,PENROSE/FAYETTE STREET OUTREACH,WESTERN,9,"(39.29020393, -76.65198592)"
